Tool,Method,percentage_complete_genome,JobID,MaxRSS,MaxVMSize,AllocCPUs,TotalCPU,cpu_day,cpu_hour,cpu_minute,cpu_second,Total_cpu_second,Start,End,Elapsed,day,hour,minute,second,Elapsed_second
panaroo,Gene annotation and clustering,0%,15469678.ba+,3068656,7279284,16,48:31.2,0,0,48,31.2,2911.2,2024-02-23T13:36:41,2024-02-23T13:44:30,0:07:49,0,0,7,49,469
PPanGGOLiN,Gene annotation and clustering,0%,15472004.ba+,7310372,7909968,16,56:18.6,0,0,56,18.6,3378.6,2024-02-23T16:08:14,2024-02-23T16:16:02,0:07:48,0,0,7,48,468
ggcaller,Unitig calling + Gene annotation ,0%,15470779.ba+,28554124,30475420,16,5:24:28,0,5,24,28,19468,2024-02-23T14:54:12,2024-02-23T15:29:00,0:34:48,0,0,34,48,2088
bifrost,Unitig calling,0%,15471398.ba+,75672,1003492,16,08:40.7,0,0,8,40.7,520.7,2024-02-23T15:30:13,2024-02-23T15:30:57,0:00:44,0,0,0,44,44
cuttlefish,Unitig calling,0%,15479417.ba+,96564,1485172,16,23-19:14:+,23,19,14,0,2056440,2024-02-24T10:41:16,2024-02-25T22:31:48,1-11:50:32,1,11,50,32,129032
roary,Gene annotation and clustering,0%,,3643344,3683416,16,0:37:33,0,0,37,33,2252.5,2026/6/15 15:29,2026/6/15 16:11,0:42:13,0,0,42,13,2532.99
panaroo,Gene annotation and clustering,1%,16019474.ba+,3090680,7292468,16,40:55.8,0,0,40,55.8,2455.8,2024-03-06T23:21:31,2024-03-06T23:28:05,0:06:34,0,0,6,34,394
PPanGGOLiN,Gene annotation and clustering,1%,16019463.ba+,7185508,8675204,16,1:06:22,0,1,6,22,3982,2024-03-06T23:19:31,2024-03-06T23:28:02,0:08:31,0,0,8,31,511
ggcaller,Unitig calling + Gene annotation ,1%,16019420.ba+,29374732,32036140,16,4:00:09,0,4,0,9,14409,2024-03-06T23:09:01,2024-03-06T23:35:54,0:26:53,0,0,26,53,1613
bifrost,Unitig calling,1%,16019617.ba+,98704,1028580,16,10:22.5,0,0,10,22.5,622.5,2024-03-06T23:50:32,2024-03-06T23:51:21,0:00:49,0,0,0,49,49
cuttlefish,Unitig calling,1%,16025593.ba+,220864,2073676,16,24-07:01:+,24,0,7,1,2074021,2024-03-07T11:31:04,2024-03-09T00:04:11,1-12:33:07,1,12,33,7,131587
panaroo,Gene annotation and clustering,11%,15985812.ba+,3454060,7667172,16,45:26.7,0,0,45,26.7,2726.7,2024-03-05T21:40:14,2024-03-05T21:48:00,0:07:46,0,0,7,46,466
PPanGGOLiN,Gene annotation and clustering,11%,15985970.ba+,7395268,8937116,16,59:48.3,0,0,59,48.3,3588.3,2024-03-05T22:22:45,2024-03-05T22:32:17,0:09:32,0,0,9,32,572
ggcaller,Unitig calling + Gene annotation ,11%,15985846.ba+,29188260,31786536,16,6:56:23,0,6,56,23,24983,2024-03-05T21:44:14,2024-03-05T22:30:54,0:46:40,0,0,46,40,2800
bifrost,Unitig calling,11%,15986078.ba+,123996,126376,16,08:31.4,0,0,8,31.4,511.4,2024-03-05T23:07:46,2024-03-05T23:08:26,0:00:40,0,0,0,40,40
cuttlefish,Unitig calling,11%,15986119.ba+,228296,1340732,16,20-12:53:+,20,12,53,0,1774380,2024-03-05T23:23:47,2024-03-07T06:20:27,1-06:56:40,1,6,56,40,111400
Roary,Gene annotation and clustering,11%,,3384028,3407468,16,0:36:27,0,0,36,27,2186.82,2026/6/13 17:19,2026/6/13 18:00,0:40:59,0,0,40,59,2459.3
panaroo,Gene annotation and clustering,50%,16325227.ba+,6001004,11489504,16,59:55.6,0,0,59,55.6,3595.6,2024-03-15T11:34:27,2024-03-15T11:48:46,0:14:19,0,0,14,19,859
PPanGGOLiN,Gene annotation and clustering,50%,16341459.ba+,7663268,9283396,16,1:03:11,0,1,3,11,3791,2024-03-15T16:45:19,2024-03-15T16:54:40,0:09:21,0,0,9,21,561
ggcaller,Unitig calling + Gene annotation ,50%,16325263.ba+,31036304,33627260,16,8:05:34,0,8,5,34,29134,2024-03-15T11:36:57,2024-03-15T12:22:55,0:45:58,0,0,45,58,2758
bifrost,Unitig calling,50%,16318707.ba+,118600,1069272,16,10:24.3,0,0,10,24.3,624.3,2024-03-14T23:36:53,2024-03-14T23:37:41,0:00:48,0,0,0,48,48
cuttlefish,Unitig calling,50%,16315844.ba+,238620,1610168,16,11-20:02:+,11,20,2,0,1022520,2024-03-14T20:37:07,2024-03-15T14:26:33,17:49:26,0,17,49,26,64166
