Isolate,Stx_type,virulencefinder_stx_complete,contig_stx_blast_assembly,bakta_stx_assembly,bakta_stx_complete,panaroo_stx_assembly,panaroo_stx_1%complete,panaroo_stx_10%complete,panaroo_stx_50%complete,panaroo_stx_90%complete,panaroo_stx_99%complete,panaroo_stx_complete,ggcaller_stx_assembly,ggcaller_stx_1%complete,ggcaller_stx_10%complete,ggcaller_stx_50%complete,ggcaller_stx_90%complete,ggcaller_stx_99%complete,ggcaller_stx_complete,ppanggolin_stx_assembly,ppanggolin_stx_1%complete,ppanggolin_stx_10%complete,ppanggolin_stx_50%complete,ppanggolin_stx_90%complete,ppanggolin_stx_99%complete,ppanggolin_stx_complete
DRR381601,stx_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381601,stx_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1
DRR381603,stx_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381603,stx_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
DRR381607,stx_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381607,stx_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DRR381616,stx_A,3,10,0,3,0,0,0,1,1,1,1,0,0,0,3,3,3,3,0,0,0,1,1,1,1
DRR381616,stx_B,3,4,0,3,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,1,1,1,1
DRR381634,stx_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381634,stx_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1
DRR381635,stx_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381635,stx_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
DRR381661,stx_A,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1
DRR381661,stx_B,2,4,0,2,0,0,0,0,2,2,2,0,0,0,0,2,2,2,0,0,0,0,1,1,1
DRR381665,stx_A,2,4,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381665,stx_B,2,4,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,1,1,1,1
DRR381669,stx_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381669,stx_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DRR381701,stx_A,2,4,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381701,stx_B,2,4,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2,2,0,0,0,1,1,1,1
DRR381723,stx_A,2,3,2,2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,1,1,1,1,1,1,1
DRR381723,stx_B,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
DRR381735,stx_A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1
DRR381735,stx_B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
