"Tool","degree_bin","frac_bin","count","total_nodes","count_norm"
"Bifrost",0,"0%–5%",56,58991,0.000949297350443288
"Bifrost",0,"5%–10%",28,58991,0.000474648675221644
"Bifrost",0,"10%–15%",2,58991,3.3903476801546e-05
"Bifrost",0,"15%–20%",3,58991,5.0855215202319e-05
"Bifrost",0,"20%–25%",3,58991,5.0855215202319e-05
"Bifrost",0,"25%–30%",12,58991,0.000203420860809276
"Bifrost",0,"30%–35%",14,58991,0.000237324337610822
"Bifrost",0,"35%–40%",11,58991,0.000186469122408503
"Bifrost",0,"65%–70%",1,58991,1.6951738400773e-05
"Bifrost",0,"70%–75%",2,58991,3.3903476801546e-05
"Bifrost",0,"75%–80%",1,58991,1.6951738400773e-05
"Bifrost",0,"85%–90%",2,58991,3.3903476801546e-05
"Bifrost",0,"90%–95%",19,58991,0.000322083029614687
"Bifrost",0,"95%–100%",157,58991,0.00266142292892136
"Bifrost",1,"0%–5%",267,58991,0.00452611415300639
"Bifrost",1,"5%–10%",91,58991,0.00154260819447034
"Bifrost",1,"10%–15%",42,58991,0.000711973012832466
"Bifrost",1,"15%–20%",28,58991,0.000474648675221644
"Bifrost",1,"20%–25%",27,58991,0.000457696936820871
"Bifrost",1,"25%–30%",58,58991,0.000983200827244834
"Bifrost",1,"30%–35%",57,58991,0.000966249088844061
"Bifrost",1,"35%–40%",39,58991,0.000661117797630147
"Bifrost",1,"40%–45%",2,58991,3.3903476801546e-05
"Bifrost",1,"45%–50%",5,58991,8.4758692003865e-05
"Bifrost",1,"50%–55%",3,58991,5.0855215202319e-05
"Bifrost",1,"55%–60%",5,58991,8.4758692003865e-05
"Bifrost",1,"60%–65%",3,58991,5.0855215202319e-05
"Bifrost",1,"65%–70%",5,58991,8.4758692003865e-05
"Bifrost",1,"70%–75%",10,58991,0.00016951738400773
"Bifrost",1,"75%–80%",3,58991,5.0855215202319e-05
"Bifrost",1,"80%–85%",7,58991,0.000118662168805411
"Bifrost",1,"85%–90%",6,58991,0.000101710430404638
"Bifrost",1,"90%–95%",38,58991,0.000644166059229374
"Bifrost",1,"95%–100%",372,58991,0.00630604668508756
"Bifrost",2,"0%–5%",9585,58991,0.162482412571409
"Bifrost",2,"5%–10%",2389,58991,0.0404977030394467
"Bifrost",2,"10%–15%",924,58991,0.0156634062823142
"Bifrost",2,"15%–20%",402,58991,0.00681459883711075
"Bifrost",2,"20%–25%",546,58991,0.00925564916682206
"Bifrost",2,"25%–30%",1272,58991,0.0215626112457833
"Bifrost",2,"30%–35%",1227,58991,0.0207997830177485
"Bifrost",2,"35%–40%",389,58991,0.0065942262379007
"Bifrost",2,"40%–45%",132,58991,0.00223762946890204
"Bifrost",2,"45%–50%",181,58991,0.00306826465053991
"Bifrost",2,"50%–55%",147,58991,0.00249190554491363
"Bifrost",2,"55%–60%",345,58991,0.00584834974826668
"Bifrost",2,"60%–65%",220,58991,0.00372938244817006
"Bifrost",2,"65%–70%",290,58991,0.00491600413622417
"Bifrost",2,"70%–75%",586,58991,0.00993371870285298
"Bifrost",2,"75%–80%",204,58991,0.00345815463375769
"Bifrost",2,"80%–85%",166,58991,0.00281398857452832
"Bifrost",2,"85%–90%",507,58991,0.00859453136919191
"Bifrost",2,"90%–95%",1525,58991,0.0258514010611788
"Bifrost",2,"95%–100%",10227,58991,0.173365428624705
