"Tool","degree_bin","frac_bin","count","total_deg","count_norm","total_nodes","count_total_norm"
"Bifrost",0,"0%–5%",56,311,0.180064308681672,58991,0.000949297350443288
"Bifrost",0,"5%–10%",28,311,0.090032154340836,58991,0.000474648675221644
"Bifrost",0,"10%–15%",2,311,0.00643086816720257,58991,3.3903476801546e-05
"Bifrost",0,"15%–20%",3,311,0.00964630225080386,58991,5.0855215202319e-05
"Bifrost",0,"20%–25%",3,311,0.00964630225080386,58991,5.0855215202319e-05
"Bifrost",0,"25%–30%",12,311,0.0385852090032154,58991,0.000203420860809276
"Bifrost",0,"30%–35%",14,311,0.045016077170418,58991,0.000237324337610822
"Bifrost",0,"35%–40%",11,311,0.0353697749196141,58991,0.000186469122408503
"Bifrost",0,"65%–70%",1,311,0.00321543408360129,58991,1.6951738400773e-05
"Bifrost",0,"70%–75%",2,311,0.00643086816720257,58991,3.3903476801546e-05
"Bifrost",0,"75%–80%",1,311,0.00321543408360129,58991,1.6951738400773e-05
"Bifrost",0,"85%–90%",2,311,0.00643086816720257,58991,3.3903476801546e-05
"Bifrost",0,"90%–95%",19,311,0.0610932475884244,58991,0.000322083029614687
"Bifrost",0,"95%–100%",157,311,0.504823151125402,58991,0.00266142292892136
"Bifrost",1,"0%–5%",267,1068,0.25,58991,0.00452611415300639
"Bifrost",1,"5%–10%",91,1068,0.0852059925093633,58991,0.00154260819447034
"Bifrost",1,"10%–15%",42,1068,0.0393258426966292,58991,0.000711973012832466
"Bifrost",1,"15%–20%",28,1068,0.0262172284644195,58991,0.000474648675221644
"Bifrost",1,"20%–25%",27,1068,0.0252808988764045,58991,0.000457696936820871
"Bifrost",1,"25%–30%",58,1068,0.0543071161048689,58991,0.000983200827244834
"Bifrost",1,"30%–35%",57,1068,0.0533707865168539,58991,0.000966249088844061
"Bifrost",1,"35%–40%",39,1068,0.0365168539325843,58991,0.000661117797630147
"Bifrost",1,"40%–45%",2,1068,0.00187265917602996,58991,3.3903476801546e-05
"Bifrost",1,"45%–50%",5,1068,0.00468164794007491,58991,8.4758692003865e-05
"Bifrost",1,"50%–55%",3,1068,0.00280898876404494,58991,5.0855215202319e-05
"Bifrost",1,"55%–60%",5,1068,0.00468164794007491,58991,8.4758692003865e-05
"Bifrost",1,"60%–65%",3,1068,0.00280898876404494,58991,5.0855215202319e-05
"Bifrost",1,"65%–70%",5,1068,0.00468164794007491,58991,8.4758692003865e-05
"Bifrost",1,"70%–75%",10,1068,0.00936329588014981,58991,0.00016951738400773
"Bifrost",1,"75%–80%",3,1068,0.00280898876404494,58991,5.0855215202319e-05
"Bifrost",1,"80%–85%",7,1068,0.00655430711610487,58991,0.000118662168805411
"Bifrost",1,"85%–90%",6,1068,0.00561797752808989,58991,0.000101710430404638
"Bifrost",1,"90%–95%",38,1068,0.0355805243445693,58991,0.000644166059229374
"Bifrost",1,"95%–100%",372,1068,0.348314606741573,58991,0.00630604668508756
"Bifrost",2,"0%–5%",9585,31264,0.306582650972364,58991,0.162482412571409
"Bifrost",2,"5%–10%",2389,31264,0.0764137666325486,58991,0.0404977030394467
"Bifrost",2,"10%–15%",924,31264,0.0295547594677584,58991,0.0156634062823142
"Bifrost",2,"15%–20%",402,31264,0.0128582395087001,58991,0.00681459883711075
"Bifrost",2,"20%–25%",546,31264,0.01746417604913,58991,0.00925564916682206
"Bifrost",2,"25%–30%",1272,31264,0.0406857727737973,58991,0.0215626112457833
"Bifrost",2,"30%–35%",1227,31264,0.039246417604913,58991,0.0207997830177485
"Bifrost",2,"35%–40%",389,31264,0.0124424257932446,58991,0.0065942262379007
"Bifrost",2,"40%–45%",132,31264,0.00422210849539406,58991,0.00223762946890204
"Bifrost",2,"45%–50%",181,31264,0.00578940634595701,58991,0.00306826465053991
"Bifrost",2,"50%–55%",147,31264,0.00470189355168884,58991,0.00249190554491363
"Bifrost",2,"55%–60%",345,31264,0.0110350562947799,58991,0.00584834974826668
"Bifrost",2,"60%–65%",220,31264,0.00703684749232344,58991,0.00372938244817006
"Bifrost",2,"65%–70%",290,31264,0.00927584442169908,58991,0.00491600413622417
"Bifrost",2,"70%–75%",586,31264,0.0187436028659161,58991,0.00993371870285298
"Bifrost",2,"75%–80%",204,31264,0.00652507676560901,58991,0.00345815463375769
"Bifrost",2,"80%–85%",166,31264,0.00530962128966223,58991,0.00281398857452832
"Bifrost",2,"85%–90%",507,31264,0.0162167349027636,58991,0.00859453136919191
"Bifrost",2,"90%–95%",1525,31264,0.0487781473899693,58991,0.0258514010611788
"Bifrost",2,"95%–100%",10227,31264,0.327117451381781,58991,0.173365428624705
"Bifrost",3,"0%–5%",3835,12539,0.305845761224978,58991,0.0650099167669645
"Bifrost",3,"5%–10%",839,12539,0.0669112369407449,58991,0.0142225085182485
"Bifrost",3,"10%–15%",306,12539,0.0244038599569344,58991,0.00518723195063654
"Bifrost",3,"15%–20%",152,12539,0.0121221788021373,58991,0.0025766642369175
"Bifrost",3,"20%–25%",170,12539,0.0135576999760746,58991,0.00288179552813141
"Bifrost",3,"25%–30%",515,12539,0.0410718558098732,58991,0.0087301452763981
"Bifrost",3,"30%–35%",370,12539,0.0295079352420448,58991,0.00627214320828601
"Bifrost",3,"35%–40%",191,12539,0.0152324746790015,58991,0.00323778203454764
"Bifrost",3,"40%–45%",68,12539,0.00542307999042986,58991,0.00115271821125256
"Bifrost",3,"45%–50%",118,12539,0.0094106388069224,58991,0.00200030513129121
"Bifrost",3,"50%–55%",79,12539,0.00630034293005822,58991,0.00133918733366107
"Bifrost",3,"55%–60%",201,12539,0.0160299864423,58991,0.00340729941855537
"Bifrost",3,"60%–65%",73,12539,0.00582183587207911,58991,0.00123747690325643
"Bifrost",3,"65%–70%",111,12539,0.00885238057261345,58991,0.0018816429624858
"Bifrost",3,"70%–75%",251,12539,0.0200175452587926,58991,0.00425488633859402
"Bifrost",3,"75%–80%",97,12539,0.00773586410399553,58991,0.00164431862487498
"Bifrost",3,"80%–85%",103,12539,0.00821437116197464,58991,0.00174602905527962
"Bifrost",3,"85%–90%",255,12539,0.020336549964112,58991,0.00432269329219711
"Bifrost",3,"90%–95%",678,12539,0.0540712975516389,58991,0.0114932786357241
"Bifrost",3,"95%–100%",4127,12539,0.329133104713295,58991,0.0699598243799902
"Bifrost",4,"0%–5%",3968,13415,0.295788296682818,58991,0.0672644979742673
"Bifrost",4,"5%–10%",946,13415,0.0705180767797242,58991,0.0160363445271313
"Bifrost",4,"10%–15%",264,13415,0.0196794632873649,58991,0.00447525893780407
"Bifrost",4,"15%–20%",127,13415,0.0094670145359672,58991,0.00215287077689817
"Bifrost",4,"20%–25%",156,13415,0.0116287737607156,58991,0.00264447119052059
"Bifrost",4,"25%–30%",495,13415,0.0368989936638092,58991,0.00839111050838263
"Bifrost",4,"30%–35%",365,13415,0.0272083488632128,58991,0.00618738451628214
"Bifrost",4,"35%–40%",208,13415,0.0155050316809542,58991,0.00352596158736078
"Bifrost",4,"40%–45%",71,13415,0.00529258292955647,58991,0.00120357342645488
"Bifrost",4,"45%–50%",106,13415,0.00790160268356318,58991,0.00179688427048194
"Bifrost",4,"50%–55%",87,13415,0.00648527767424525,58991,0.00147480124086725
"Bifrost",4,"55%–60%",223,13415,0.0166231830040999,58991,0.00378023766337238
"Bifrost",4,"60%–65%",80,13415,0.00596347372344391,58991,0.00135613907206184
"Bifrost",4,"65%–70%",205,13415,0.015281401416325,58991,0.00347510637215847
"Bifrost",4,"70%–75%",275,13415,0.0204994409243384,58991,0.00466172806021257
"Bifrost",4,"75%–80%",83,13415,0.00618710398807305,58991,0.00140699428726416
"Bifrost",4,"80%–85%",97,13415,0.00723071188967574,58991,0.00164431862487498
"Bifrost",4,"85%–90%",250,13415,0.0186358553857622,58991,0.00423793460019325
"Bifrost",4,"90%–95%",690,13415,0.0514349608647037,58991,0.0116966994965334
"Bifrost",4,"95%–100%",4719,13415,0.351770406261647,58991,0.0799952535132478
"Bifrost",5,"0%–5%",129,368,0.35054347826087,58991,0.00218677425369972
"Bifrost",5,"5%–10%",28,368,0.0760869565217391,58991,0.000474648675221644
"Bifrost",5,"10%–15%",11,368,0.0298913043478261,58991,0.000186469122408503
"Bifrost",5,"15%–20%",11,368,0.0298913043478261,58991,0.000186469122408503
"Bifrost",5,"20%–25%",7,368,0.0190217391304348,58991,0.000118662168805411
"Bifrost",5,"25%–30%",6,368,0.016304347826087,58991,0.000101710430404638
"Bifrost",5,"30%–35%",7,368,0.0190217391304348,58991,0.000118662168805411
"Bifrost",5,"35%–40%",2,368,0.00543478260869565,58991,3.3903476801546e-05
"Bifrost",5,"40%–45%",3,368,0.00815217391304348,58991,5.0855215202319e-05
"Bifrost",5,"45%–50%",3,368,0.00815217391304348,58991,5.0855215202319e-05
"Bifrost",5,"50%–55%",3,368,0.00815217391304348,58991,5.0855215202319e-05
"Bifrost",5,"55%–60%",8,368,0.0217391304347826,58991,0.000135613907206184
"Bifrost",5,"60%–65%",3,368,0.00815217391304348,58991,5.0855215202319e-05
"Bifrost",5,"65%–70%",1,368,0.00271739130434783,58991,1.6951738400773e-05
"Bifrost",5,"70%–75%",9,368,0.0244565217391304,58991,0.000152565645606957
"Bifrost",5,"75%–80%",1,368,0.00271739130434783,58991,1.6951738400773e-05
"Bifrost",5,"80%–85%",5,368,0.0135869565217391,58991,8.4758692003865e-05
"Bifrost",5,"85%–90%",8,368,0.0217391304347826,58991,0.000135613907206184
"Bifrost",5,"90%–95%",15,368,0.0407608695652174,58991,0.000254276076011595
"Bifrost",5,"95%–100%",108,368,0.293478260869565,58991,0.00183078774728348
"Bifrost",6,"0%–5%",5,19,0.263157894736842,58991,8.4758692003865e-05
"Bifrost",6,"5%–10%",3,19,0.157894736842105,58991,5.0855215202319e-05
"Bifrost",6,"10%–15%",1,19,0.0526315789473684,58991,1.6951738400773e-05
"Bifrost",6,"20%–25%",1,19,0.0526315789473684,58991,1.6951738400773e-05
"Bifrost",6,"60%–65%",1,19,0.0526315789473684,58991,1.6951738400773e-05
"Bifrost",6,"70%–75%",1,19,0.0526315789473684,58991,1.6951738400773e-05
"Bifrost",6,"80%–85%",1,19,0.0526315789473684,58991,1.6951738400773e-05
"Bifrost",6,"90%–95%",1,19,0.0526315789473684,58991,1.6951738400773e-05
"Bifrost",6,"95%–100%",5,19,0.263157894736842,58991,8.4758692003865e-05
"Bifrost",7,"0%–5%",2,5,0.4,58991,3.3903476801546e-05
"Bifrost",7,"35%–40%",1,5,0.2,58991,1.6951738400773e-05
"Bifrost",7,"60%–65%",1,5,0.2,58991,1.6951738400773e-05
"Bifrost",7,"95%–100%",1,5,0.2,58991,1.6951738400773e-05
"Bifrost",8,"95%–100%",2,2,1,58991,3.3903476801546e-05
"Cuttlefish",1,"0%–5%",18,18,1,117196,0.000153588859688044
"Cuttlefish",2,"0%–5%",36925,65325,0.565250669728282,117196,0.315070480221168
"Cuttlefish",2,"5%–10%",2801,65325,0.0428779181017987,117196,0.0239001331103451
"Cuttlefish",2,"10%–15%",1010,65325,0.0154611557596632,117196,0.00861804157138469
"Cuttlefish",2,"15%–20%",437,65325,0.00668962877918102,117196,0.00372879620464862
"Cuttlefish",2,"20%–25%",702,65325,0.0107462686567164,117196,0.00598996552783371
"Cuttlefish",2,"25%–30%",1791,65325,0.0274167623421355,117196,0.0152820915389604
"Cuttlefish",2,"30%–35%",761,65325,0.0116494450822809,117196,0.00649339567903341
"Cuttlefish",2,"35%–40%",303,65325,0.00463834672789897,117196,0.00258541247141541
"Cuttlefish",2,"40%–45%",168,65325,0.00257175660160735,117196,0.00143349602375508
"Cuttlefish",2,"45%–50%",212,65325,0.00324531190202832,117196,0.00180893545854807
"Cuttlefish",2,"50%–55%",194,65325,0.0029697665518561,117196,0.00165534659886003
"Cuttlefish",2,"55%–60%",363,65325,0.00555683122847302,117196,0.00309737533704222
"Cuttlefish",2,"60%–65%",277,65325,0.00424033677765021,117196,0.00236356189631045
"Cuttlefish",2,"65%–70%",349,65325,0.00534251817833907,117196,0.00297791733506263
"Cuttlefish",2,"70%–75%",746,65325,0.0114198239571374,117196,0.00636540496262671
"Cuttlefish",2,"75%–80%",254,65325,0.00388825105243016,117196,0.00216730946448684
"Cuttlefish",2,"80%–85%",206,65325,0.00315346345197091,117196,0.00175773917198539
"Cuttlefish",2,"85%–90%",632,65325,0.00967470340604669,117196,0.00539267551793577
"Cuttlefish",2,"90%–95%",1824,65325,0.0279219288174512,117196,0.0155636711150551
"Cuttlefish",2,"95%–100%",15370,65325,0.235285112897053,117196,0.131147820744735
"Cuttlefish",3,"0%–5%",5011,24814,0.201942451841702,117196,0.042757431994266
"Cuttlefish",3,"5%–10%",1888,24814,0.0760860804384622,117196,0.0161097648383904
"Cuttlefish",3,"10%–15%",530,24814,0.0213589102925768,117196,0.00452233864637018
"Cuttlefish",3,"15%–20%",312,24814,0.0125735471911018,117196,0.00266220690125943
"Cuttlefish",3,"20%–25%",290,24814,0.0116869509148062,117196,0.00247448718386293
"Cuttlefish",3,"25%–30%",898,24814,0.0361892480051584,117196,0.00766237755554797
"Cuttlefish",3,"30%–35%",1070,24814,0.0431208188925606,117196,0.0091300044370115
"Cuttlefish",3,"35%–40%",371,24814,0.0149512372048037,117196,0.00316563705245913
"Cuttlefish",3,"40%–45%",152,24814,0.00612557427258806,117196,0.00129697259292126
"Cuttlefish",3,"45%–50%",244,24814,0.00983315870073346,117196,0.00208198232021571
"Cuttlefish",3,"50%–55%",188,24814,0.00757636817925365,117196,0.00160415031229735
"Cuttlefish",3,"55%–60%",425,24814,0.0171274280648021,117196,0.00362640363152326
"Cuttlefish",3,"60%–65%",162,24814,0.00652857257999516,117196,0.0013822997371924
"Cuttlefish",3,"65%–70%",316,24814,0.0127347465140646,117196,0.00269633775896788
"Cuttlefish",3,"70%–75%",494,24814,0.0199081163859112,117196,0.0042151609269941
"Cuttlefish",3,"75%–80%",148,24814,0.00596437494962521,117196,0.00126284173521281
"Cuttlefish",3,"80%–85%",202,24814,0.0081405658096236,117196,0.00172360831427694
