"Tool","pct_complete","metric","value","baseline_100","abs_change","pct_change","direction"
"Panaroo","0","Node count",6891,8740,-1849,-21.1556064073227,"Down"
"Panaroo","0","Edge count",7307,12925,-5618,-43.4661508704062,"Down"
"Panaroo","0","Subgraph count",145,6,139,2316.66666666667,"Up"
"PPanGGOLiN","0","Node count",7266,7148,118,1.65081141578064,"Up"
"PPanGGOLiN","0","Edge count",8248,9593,-1345,-14.0206400500365,"Down"
"PPanGGOLiN","0","Subgraph count",66,4,62,1550,"Up"
"ggCaller","0","Node count",7451,7625,-174,-2.28196721311475,"Down"
"ggCaller","0","Edge count",7677,9152,-1475,-16.1166958041958,"Down"
"ggCaller","0","Subgraph count",723,582,141,24.2268041237113,"Up"
"Bifrost","0","Node count",62595,58991,3604,6.10940651963859,"Up"
"Bifrost","0","Edge count",80398,78439,1959,2.49748211986384,"Up"
"Bifrost","0","Subgraph count",498,324,174,53.7037037037037,"Up"
"Cuttlefish","0","Node count",159401,117196,42205,36.0123212396328,"Up"
"Cuttlefish","0","Edge count",204271,157027,47244,30.0865456259115,"Up"
"Cuttlefish","0","Subgraph count",6,2,4,200,"Up"
"Panaroo","11","Node count",7593,8740,-1147,-13.1235697940503,"Down"
"Panaroo","11","Edge count",8561,12925,-4364,-33.7640232108317,"Down"
"Panaroo","11","Subgraph count",140,6,134,2233.33333333333,"Up"
"PPanGGOLiN","11","Node count",7248,7148,100,1.39899272523783,"Up"
"PPanGGOLiN","11","Edge count",8696,9593,-897,-9.35056812258939,"Down"
"PPanGGOLiN","11","Subgraph count",53,4,49,1225,"Up"
"ggCaller","11","Node count",7561,7625,-64,-0.839344262295082,"Down"
"ggCaller","11","Edge count",8251,9152,-901,-9.84484265734266,"Down"
"ggCaller","11","Subgraph count",643,582,61,10.4810996563574,"Up"
"Bifrost","11","Node count",61885,58991,2894,4.90583309318371,"Up"
"Bifrost","11","Edge count",80032,78439,1593,2.0308774971634,"Up"
"Bifrost","11","Subgraph count",458,324,134,41.358024691358,"Up"
"Cuttlefish","11","Node count",152511,117196,35315,30.1332809993515,"Up"
"Cuttlefish","11","Edge count",196400,157027,39373,25.0740318543945,"Up"
"Cuttlefish","11","Subgraph count",4,2,2,100,"Up"
"Panaroo","50","Node count",8327,8740,-413,-4.7254004576659,"Down"
"Panaroo","50","Edge count",10836,12925,-2089,-16.1624758220503,"Down"
"Panaroo","50","Subgraph count",113,6,107,1783.33333333333,"Up"
"PPanGGOLiN","50","Node count",7277,7148,129,1.8047006155568,"Up"
"PPanGGOLiN","50","Edge count",9280,9593,-313,-3.26279578859585,"Down"
"PPanGGOLiN","50","Subgraph count",43,4,39,975,"Up"
"ggCaller","50","Node count",7748,7625,123,1.61311475409836,"Up"
"ggCaller","50","Edge count",8720,9152,-432,-4.72027972027972,"Down"
"ggCaller","50","Subgraph count",730,582,148,25.4295532646048,"Up"
"Bifrost","50","Node count",61286,58991,2295,3.8904239629774,"Up"
"Bifrost","50","Edge count",79955,78439,1516,1.93271204375375,"Up"
"Bifrost","50","Subgraph count",478,324,154,47.5308641975309,"Up"
"Cuttlefish","50","Node count",144483,117196,27287,23.2832178572648,"Up"
"Cuttlefish","50","Edge count",188298,157027,31271,19.9144096238227,"Up"
"Cuttlefish","50","Subgraph count",6,2,4,200,"Up"
"Panaroo","89","Node count",8703,8740,-37,-0.423340961098398,"Down"
"Panaroo","89","Edge count",12123,12925,-802,-6.20502901353965,"Down"
"Panaroo","89","Subgraph count",57,6,51,850,"Up"
"PPanGGOLiN","89","Node count",7265,7148,117,1.63682148852826,"Up"
"PPanGGOLiN","89","Edge count",9611,9593,18,0.187636818513499,"Up"
"PPanGGOLiN","89","Subgraph count",34,4,30,750,"Up"
"ggCaller","89","Node count",7698,7625,73,0.957377049180328,"Up"
"ggCaller","89","Edge count",9058,9152,-94,-1.0270979020979,"Down"
"ggCaller","89","Subgraph count",663,582,81,13.9175257731959,"Up"
"Bifrost","89","Node count",60224,58991,1233,2.09014934481531,"Up"
"Bifrost","89","Edge count",79505,78439,1066,1.3590178355155,"Up"
"Bifrost","89","Subgraph count",382,324,58,17.9012345679012,"Up"
"Cuttlefish","89","Node count",128837,117196,11641,9.93293286460289,"Up"
"Cuttlefish","89","Edge count",170507,157027,13480,8.58451094397779,"Up"
"Cuttlefish","89","Subgraph count",3,2,1,50,"Up"
