"Tool","degree_bin","frac_bin","total_count_norm_baseline","total_count_norm","delta_pp_total"
"Bifrost",0,"0%–5%",0.000949297350443288,0.0021726974998003,0.12
"Bifrost",0,"5%–10%",0.000474648675221644,0.000191708602923556,-0.03
"Bifrost",0,"10%–15%",3.3903476801546e-05,0.000143781452192667,0.01
"Bifrost",0,"15%–20%",5.0855215202319e-05,0.000143781452192667,0.01
"Bifrost",0,"20%–25%",5.0855215202319e-05,0.000111830018372074,0.01
"Bifrost",0,"25%–30%",0.000203420860809276,0.00035146577202652,0.01
"Bifrost",0,"30%–35%",0.000237324337610822,0.000159757169102963,-0.01
"Bifrost",0,"35%–40%",0.000186469122408503,9.58543014617781e-05,-0.01
"Bifrost",0,"65%–70%",1.6951738400773e-05,6.39028676411854e-05,0
"Bifrost",0,"70%–75%",3.3903476801546e-05,0.000143781452192667,0.01
"Bifrost",0,"75%–80%",1.6951738400773e-05,6.39028676411854e-05,0
"Bifrost",0,"85%–90%",3.3903476801546e-05,0.000191708602923556,0.02
"Bifrost",0,"90%–95%",0.000322083029614687,0.000591101525680965,0.03
"Bifrost",0,"95%–100%",0.00266142292892136,0.00230050323508267,-0.04
"Bifrost",1,"0%–5%",0.00452611415300639,0.0371275660995287,3.26
"Bifrost",1,"5%–10%",0.00154260819447034,0.0078920041536864,0.63
"Bifrost",1,"10%–15%",0.000711973012832466,0.00276379902548127,0.21
"Bifrost",1,"15%–20%",0.000474648675221644,0.00142183880501638,0.09
"Bifrost",1,"20%–25%",0.000457696936820871,0.00170940170940171,0.13
"Bifrost",1,"25%–30%",0.000983200827244834,0.00324307053279016,0.23
"Bifrost",1,"30%–35%",0.000966249088844061,0.00207684319833853,0.11
"Bifrost",1,"35%–40%",0.000661117797630147,0.000942567297707485,0.03
"Bifrost",1,"40%–45%",3.3903476801546e-05,0.000766834411694225,0.07
"Bifrost",1,"45%–50%",8.4758692003865e-05,0.000782810128604521,0.07
"Bifrost",1,"50%–55%",5.0855215202319e-05,0.000798785845514817,0.07
"Bifrost",1,"55%–60%",8.4758692003865e-05,0.00164549884176052,0.16
"Bifrost",1,"60%–65%",5.0855215202319e-05,0.000878664430066299,0.08
"Bifrost",1,"65%–70%",8.4758692003865e-05,0.000862688713156003,0.08
"Bifrost",1,"70%–75%",0.00016951738400773,0.00201294033069734,0.18
"Bifrost",1,"75%–80%",5.0855215202319e-05,0.00105439731607956,0.1
"Bifrost",1,"80%–85%",0.000118662168805411,0.00113427590063104,0.1
"Bifrost",1,"85%–90%",0.000101710430404638,0.00241233325345475,0.23
"Bifrost",1,"90%–95%",0.000644166059229374,0.0043613707165109,0.37
"Bifrost",1,"95%–100%",0.00630604668508756,0.0203850147775381,1.41
"Bifrost",2,"0%–5%",0.162482412571409,0.171291636712197,0.88
"Bifrost",2,"5%–10%",0.0404977030394467,0.0293633676811247,-1.11
"Bifrost",2,"10%–15%",0.0156634062823142,0.0143621695023564,-0.13
"Bifrost",2,"15%–20%",0.00681459883711075,0.00693346113906862,0.01
"Bifrost",2,"20%–25%",0.00925564916682206,0.00865883856538062,-0.06
"Bifrost",2,"25%–30%",0.0215626112457833,0.0180525601086349,-0.35
"Bifrost",2,"30%–35%",0.0207997830177485,0.0144739995207285,-0.63
"Bifrost",2,"35%–40%",0.0065942262379007,0.0043933221503315,-0.22
"Bifrost",2,"40%–45%",0.00223762946890204,0.00282770189312245,0.06
"Bifrost",2,"45%–50%",0.00306826465053991,0.00338685198498283,0.03
"Bifrost",2,"50%–55%",0.00249190554491363,0.00357856058790638,0.11
"Bifrost",2,"55%–60%",0.00584834974826668,0.00662992251777298,0.08
"Bifrost",2,"60%–65%",0.00372938244817006,0.00498442367601246,0.13
"Bifrost",2,"65%–70%",0.00491600413622417,0.00627845674574647,0.14
"Bifrost",2,"70%–75%",0.00993371870285298,0.00937774582634396,-0.06
"Bifrost",2,"75%–80%",0.00345815463375769,0.00490454509146098,0.14
