No. of nodes,Tool
6972,panaroo
1,panaroo
2,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
12,panaroo
157,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
129,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
11,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
2,panaroo
6,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
4,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
2,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
7,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
2,panaroo
1,panaroo
1,panaroo
33,panaroo
21,panaroo
7,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
12,panaroo
1,panaroo
1,panaroo
2,panaroo
3,panaroo
1,panaroo
2,panaroo
1,panaroo
1,panaroo
1,panaroo
3,panaroo
1,panaroo
3,panaroo
1,panaroo
1,panaroo
7,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
2,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
7,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
18,panaroo
2,panaroo
1,panaroo
1,panaroo
47,panaroo
2,panaroo
3,panaroo
2,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
1,panaroo
2,panaroo
10103,roary
1,roary
1,roary
10,roary
1,roary
1,roary
2,roary
18,roary
1,roary
1,roary
1,roary
3,roary
1,roary
1,roary
1,roary
2,roary
1,roary
1,roary
2,roary
1,roary
20,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
2,roary
30,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
25,roary
1,roary
1,roary
1,roary
5,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
4,roary
1,roary
1,roary
1,roary
1,roary
11,roary
2,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
6,roary
1,roary
5,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
2,roary
1,roary
1,roary
2,roary
2,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
2,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
5,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
2,roary
1,roary
1,roary
2,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
2,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
2,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
2,roary
1,roary
1,roary
1,roary
1,roary
1,roary
2,roary
2,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
1,roary
