length,Source
61,assembly_analysis
41,assembly_analysis
37,assembly_analysis
77,assembly_analysis
61,assembly_analysis
65,assembly_analysis
85,assembly_analysis
221,assembly_analysis
61,assembly_analysis
448,assembly_analysis
84,assembly_analysis
49,assembly_analysis
32,assembly_analysis
49,assembly_analysis
41,assembly_analysis
48,assembly_analysis
52,assembly_analysis
40,assembly_analysis
67,assembly_analysis
38,assembly_analysis
52,assembly_analysis
39,assembly_analysis
39,assembly_analysis
38,assembly_analysis
66,assembly_analysis
33,assembly_analysis
60,assembly_analysis
61,assembly_analysis
44,assembly_analysis
41,assembly_analysis
34,assembly_analysis
35,assembly_analysis
40,assembly_analysis
38,assembly_analysis
45,assembly_analysis
36,assembly_analysis
40,assembly_analysis
38,assembly_analysis
55,assembly_analysis
61,assembly_analysis
39,assembly_analysis
42,assembly_analysis
60,assembly_analysis
61,assembly_analysis
41,assembly_analysis
33,assembly_analysis
48,assembly_analysis
56,assembly_analysis
42,assembly_analysis
39,assembly_analysis
40,assembly_analysis
34,assembly_analysis
52,assembly_analysis
85,assembly_analysis
36,assembly_analysis
96,assembly_analysis
52,assembly_analysis
55,assembly_analysis
59,assembly_analysis
61,assembly_analysis
33,assembly_analysis
35,assembly_analysis
148,assembly_analysis
47,assembly_analysis
61,assembly_analysis
45,assembly_analysis
34,assembly_analysis
64,assembly_analysis
35,assembly_analysis
57,assembly_analysis
61,assembly_analysis
69,assembly_analysis
56,assembly_analysis
35,assembly_analysis
43,assembly_analysis
71,assembly_analysis
38,assembly_analysis
53,assembly_analysis
32,assembly_analysis
33,assembly_analysis
33,assembly_analysis
58,assembly_analysis
99,assembly_analysis
54,assembly_analysis
49,assembly_analysis
104,assembly_analysis
32,assembly_analysis
36,assembly_analysis
55,assembly_analysis
147,assembly_analysis
83,assembly_analysis
85,assembly_analysis
72,assembly_analysis
56,assembly_analysis
41,assembly_analysis
61,assembly_analysis
94,assembly_analysis
61,assembly_analysis
113,assembly_analysis
61,assembly_analysis
119,assembly_analysis
61,assembly_analysis
57,assembly_analysis
41,assembly_analysis
33,assembly_analysis
52,assembly_analysis
36,assembly_analysis
78,assembly_analysis
73,assembly_analysis
66,assembly_analysis
70,assembly_analysis
44,assembly_analysis
61,assembly_analysis
112,assembly_analysis
61,assembly_analysis
35,assembly_analysis
38,assembly_analysis
33,assembly_analysis
74,assembly_analysis
49,assembly_analysis
39,assembly_analysis
47,assembly_analysis
58,assembly_analysis
33,assembly_analysis
39,assembly_analysis
67,assembly_analysis
36,assembly_analysis
36,assembly_analysis
61,assembly_analysis
55,assembly_analysis
35,assembly_analysis
66,assembly_analysis
36,assembly_analysis
38,assembly_analysis
65,assembly_analysis
61,assembly_analysis
36,assembly_analysis
36,assembly_analysis
44,assembly_analysis
33,assembly_analysis
37,assembly_analysis
32,assembly_analysis
48,assembly_analysis
36,assembly_analysis
37,assembly_analysis
36,assembly_analysis
41,assembly_analysis
40,assembly_analysis
34,assembly_analysis
38,assembly_analysis
33,assembly_analysis
32,assembly_analysis
41,assembly_analysis
47,assembly_analysis
43,assembly_analysis
37,assembly_analysis
34,assembly_analysis
43,assembly_analysis
38,assembly_analysis
36,assembly_analysis
34,assembly_analysis
38,assembly_analysis
40,assembly_analysis
50,assembly_analysis
36,assembly_analysis
32,assembly_analysis
52,assembly_analysis
39,assembly_analysis
32,assembly_analysis
73,assembly_analysis
36,assembly_analysis
39,assembly_analysis
39,assembly_analysis
33,assembly_analysis
49,assembly_analysis
42,assembly_analysis
48,assembly_analysis
34,assembly_analysis
38,assembly_analysis
86,assembly_analysis
39,assembly_analysis
52,assembly_analysis
39,assembly_analysis
51,assembly_analysis
44,assembly_analysis
45,assembly_analysis
41,assembly_analysis
33,assembly_analysis
58,assembly_analysis
32,assembly_analysis
38,assembly_analysis
61,assembly_analysis
33,assembly_analysis
44,assembly_analysis
57,assembly_analysis
52,assembly_analysis
81,assembly_analysis
33,assembly_analysis
38,assembly_analysis
61,assembly_analysis
44,assembly_analysis
61,assembly_analysis
35,assembly_analysis
61,assembly_analysis
39,assembly_analysis
61,assembly_analysis
32,assembly_analysis
120,assembly_analysis
41,assembly_analysis
61,assembly_analysis
53,assembly_analysis
114,assembly_analysis
169,assembly_analysis
61,assembly_analysis
61,assembly_analysis
61,assembly_analysis
120,assembly_analysis
61,assembly_analysis
114,assembly_analysis
101,assembly_analysis
32,assembly_analysis
162,assembly_analysis
61,assembly_analysis
35,assembly_analysis
37,assembly_analysis
63,assembly_analysis
60,assembly_analysis
190,assembly_analysis
39,assembly_analysis
42,assembly_analysis
65,assembly_analysis
36,assembly_analysis
155,assembly_analysis
149,assembly_analysis
61,assembly_analysis
100,assembly_analysis
49,assembly_analysis
61,assembly_analysis
137,assembly_analysis
111,assembly_analysis
40,assembly_analysis
32,assembly_analysis
59,assembly_analysis
33,assembly_analysis
56,assembly_analysis
32,assembly_analysis
59,assembly_analysis
32,assembly_analysis
43,assembly_analysis
