"Stx_type","fragmentation_status","Tool","complete_genomes","TP","FP","FN","precision","recall"
"stx_A","Collapsed stx","BAKTA",0,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","BAKTA",11,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","BAKTA",50,40,0,4,1,0.909090909090909
"stx_A","Collapsed stx","BAKTA",89,44,0,0,1,1
"stx_A","Collapsed stx","BAKTA",100,44,0,0,1,1
"stx_A","Collapsed stx","PPanGGOLiN",0,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","PPanGGOLiN",11,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","PPanGGOLiN",50,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","PPanGGOLiN",89,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","PPanGGOLiN",100,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","Panaroo",0,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","Panaroo",11,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","Panaroo",50,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","Panaroo",89,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","Panaroo",100,28,0,16,1,0.636363636363636
"stx_A","Collapsed stx","Roary",0,15,0,29,1,0.340909090909091
"stx_A","Collapsed stx","Roary",11,15,0,29,1,0.340909090909091
"stx_A","Collapsed stx","Roary",50,22,0,22,1,0.5
"stx_A","Collapsed stx","Roary",89,24,0,20,1,0.545454545454545
"stx_A","Collapsed stx","Roary",100,24,0,20,1,0.545454545454545
"stx_A","Collapsed stx","ggCaller",0,30,0,14,1,0.681818181818182
"stx_A","Collapsed stx","ggCaller",11,30,0,14,1,0.681818181818182
"stx_A","Collapsed stx","ggCaller",50,44,14,0,0.758620689655172,1
"stx_A","Collapsed stx","ggCaller",89,44,14,0,0.758620689655172,1
"stx_A","Collapsed stx","ggCaller",100,44,14,0,0.758620689655172,1
"stx_A","Complete stx","BAKTA",0,181,0,2,1,0.989071038251366
"stx_A","Complete stx","BAKTA",11,181,0,2,1,0.989071038251366
"stx_A","Complete stx","BAKTA",50,182,0,1,1,0.994535519125683
"stx_A","Complete stx","BAKTA",89,183,0,0,1,1
"stx_A","Complete stx","BAKTA",100,183,0,0,1,1
"stx_A","Complete stx","PPanGGOLiN",0,181,0,2,1,0.989071038251366
"stx_A","Complete stx","PPanGGOLiN",11,181,0,2,1,0.989071038251366
"stx_A","Complete stx","PPanGGOLiN",50,181,0,2,1,0.989071038251366
"stx_A","Complete stx","PPanGGOLiN",89,181,0,2,1,0.989071038251366
"stx_A","Complete stx","PPanGGOLiN",100,181,0,2,1,0.989071038251366
"stx_A","Complete stx","Panaroo",0,181,0,2,1,0.989071038251366
"stx_A","Complete stx","Panaroo",11,181,0,2,1,0.989071038251366
"stx_A","Complete stx","Panaroo",50,181,0,2,1,0.989071038251366
"stx_A","Complete stx","Panaroo",89,181,0,2,1,0.989071038251366
"stx_A","Complete stx","Panaroo",100,181,0,2,1,0.989071038251366
"stx_A","Complete stx","Roary",0,129,0,54,1,0.704918032786885
"stx_A","Complete stx","Roary",11,129,0,54,1,0.704918032786885
"stx_A","Complete stx","Roary",50,130,0,53,1,0.710382513661202
"stx_A","Complete stx","Roary",89,131,0,52,1,0.715846994535519
"stx_A","Complete stx","Roary",100,131,0,52,1,0.715846994535519
"stx_A","Complete stx","ggCaller",0,181,59,2,0.754166666666667,0.989071038251366
"stx_A","Complete stx","ggCaller",11,181,59,2,0.754166666666667,0.989071038251366
"stx_A","Complete stx","ggCaller",50,183,238,0,0.434679334916865,1
"stx_A","Complete stx","ggCaller",89,183,240,0,0.432624113475177,1
"stx_A","Complete stx","ggCaller",100,183,240,0,0.432624113475177,1
"stx_A","Fragmented stx","BAKTA",0,20,0,70,1,0.222222222222222
