Tool,length,node_id,subgraph_id
panaroo,2463,thrA,0
panaroo,933,thrB,0
panaroo,1287,thrC,0
panaroo,297,yaaX,0
panaroo,777,yaaA,0
panaroo,1431,yaaJ,0
panaroo,954,tal,0
panaroo,588,mog,0
panaroo,567,satP,0
panaroo,714,msyB,0
panaroo,405,yaaI,0
panaroo,1917,dnaK,0
panaroo,1131,dnaJ,0
panaroo,210,mokC,0
panaroo,1167,nhaA,0
panaroo,900,nhaR,0
panaroo,426,group_2221,0
panaroo,684,group_1812,0
panaroo,264,rpsT,0
panaroo,942,ribF,0
panaroo,2817,ileS,0
panaroo,495,lspA,0
panaroo,450,fkpB,0
panaroo,951,ispH,0
panaroo,1149,carA,0
panaroo,3222,carB,0
panaroo,219,group_2831,0
panaroo,396,caiF,0
panaroo,591,caiE,0
panaroo,1143,caiA,0
panaroo,1530,caiT,0
panaroo,771,fixA,0
panaroo,942,fixB,0
panaroo,1287,fixX,0
panaroo,288,group_2591,0
panaroo,1332,yaaU,0
panaroo,531,kefF,0
panaroo,1863,kefC,0
panaroo,591,group_1932,0
panaroo,234,group_2776,0
panaroo,315,group_2495,0
panaroo,849,apaH,0
panaroo,378,apaG,0
panaroo,822,group_1683,0
panaroo,990,pdxA,0
panaroo,1287,surA,0
panaroo,2355,lptD,0
panaroo,660,rluA,0
panaroo,2907,rapA,0
panaroo,696,araD,0
panaroo,1503,araA,0
panaroo,1701,araB,0
panaroo,765,yabI,0
panaroo,1611,thiP,0
panaroo,984,thiB,0
panaroo,108,group_3115,0
panaroo,1659,sgrR,0
panaroo,606,leuD,0
panaroo,1401,leuC,0
panaroo,1092,leuB,0
panaroo,1572,group_264,0
panaroo,945,leuO,0
panaroo,1725,ilvI,0
panaroo,492,ilvN,0
panaroo,87,fruL,0
panaroo,1005,cra,0
panaroo,942,rsmH,0
panaroo,366,group_2381,0
panaroo,1767,ftsI,0
panaroo,1488,murE,0
panaroo,1359,murF,0
panaroo,1083,mraY,0
panaroo,1317,murD,0
panaroo,1245,ftsW,0
panaroo,1068,murG,0
panaroo,1476,murC,0
panaroo,921,ddlB,0
panaroo,831,ftsQ,0
panaroo,1263,ftsA,0
panaroo,1152,ftsZ,0
panaroo,918,lpxC,0
panaroo,588,secM,0
panaroo,2706,secA,0
panaroo,399,mutT,0
panaroo,198,yacG,0
panaroo,744,zapD,0
panaroo,621,coaE,0
panaroo,45,yacM,0
panaroo,1044,guaC,0
panaroo,1203,hofC,0
panaroo,441,ppdD,0
panaroo,894,nadC,0
panaroo,552,ampD,0
panaroo,861,ampE,0
panaroo,1371,aroP,0
panaroo,765,pdhR,0
panaroo,2664,aceE,0
panaroo,1893,aceF,0
panaroo,1425,lpdA,0
panaroo,2598,acnB,0
panaroo,363,yacL,0
panaroo,795,speD,0
panaroo,309,yacC,0
panaroo,1551,cueO,0
panaroo,2391,gcd,0
panaroo,537,hpt,0
panaroo,663,can,0
panaroo,927,yadG,0
panaroo,771,yadH,0
panaroo,441,yadI,0
panaroo,1230,yadE,0
panaroo,381,panD,0
panaroo,897,rpnC,0
panaroo,852,panC,0
panaroo,795,panB,0
panaroo,606,group_1909,0
panaroo,2601,fimD,0
panaroo,726,ecpD,0
panaroo,483,folK,0
panaroo,1365,pcnB,0
panaroo,927,gluQRS,0
panaroo,456,group_2166,0
panaroo,705,sfsA,0
