"Isolate","Stx_type","virulencefinder_stx_complete","contig_stx_blast_assembly","fragmentation_status","Tool","complete_genomes","stx_value","stx_profile"
"DRR381601","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",10,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",10,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",90,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",90,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",0,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",0,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",10,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",10,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",50,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",50,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",90,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",90,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",100,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",100,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Roary",0,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Roary",0,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Roary",10,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Roary",10,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Roary",50,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Roary",50,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Roary",90,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Roary",90,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","Roary",100,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","Roary",100,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",0,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",0,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",10,1,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",10,1,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",50,3,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",50,2,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",90,3,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",90,2,"stx2a"
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",100,3,"stx2a"
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",100,2,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",10,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",10,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",90,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",90,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",0,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",0,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",10,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",10,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",50,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",50,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",90,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",90,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",100,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",100,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Roary",0,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Roary",0,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Roary",10,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Roary",10,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Roary",50,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Roary",50,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Roary",90,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Roary",90,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","Roary",100,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","Roary",100,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",0,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",0,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",10,1,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",10,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",50,3,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",50,2,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",90,3,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",90,1,"stx2a"
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",100,3,"stx2a"
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",100,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",10,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",10,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",90,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",90,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",0,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",0,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",10,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",10,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",50,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",50,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",90,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",90,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",100,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",100,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Roary",0,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Roary",0,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Roary",10,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Roary",10,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Roary",50,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Roary",50,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Roary",90,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Roary",90,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","Roary",100,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","Roary",100,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",0,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",0,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",10,1,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",10,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",50,3,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",50,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",90,3,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",90,1,"stx2a"
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",100,3,"stx2a"
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",100,1,"stx2a"
"DRR381616","stx_A",3,10,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c"
