"isolate__autocolour","ST__autocolour","Serotype__autocolour","SRA__autocolour","Biosample__autocolour","benchmark_included__autocolour","stx_profile__autocolour","stx_count__autocolour","plasmid_profile__autocolour","plasmid_count__autocolour","ST_plot__autocolour","Serotype_plot__autocolour","plasmid_profile_plot__autocolour","stx_profile_plot__autocolour"
"GCF_000005845.2_ASM584v2","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000007445.1_ASM744v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000008865.2_ASM886v2","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_000009565.1_ASM956v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000010245.2_ASM1024v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000010385.1_ASM1038v1","156","O173:H28",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000010485.1_ASM1048v1","131","O16:H5",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000010745.1_ASM1074v1","17","O103:H2",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000010765.1_ASM1076v1","16","O111:H8",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000013265.1_ASM1326v1","95","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000013305.1_ASM1330v1","127","O6:H31",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000014845.1_ASM1484v1","95","O1:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000017745.1_ASM1774v1","1132","-:H28",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000017765.1_ASM1776v1","46","O9:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000017985.1_ASM1798v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000019385.1_ASM1938v1","3021","O146:H20",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000019425.1_ASM1942v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000019645.1_ASM1964v1","354","O153:H34",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000021125.1_ASM2112v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_000022225.1_ASM2222v1","11","O157:H7",NA,NA,"no",NA,NA,NA,NA,"11",NA,NA,NA
"GCF_000022345.1_ASM2234v1","10","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000022665.1_ASM2266v1","93","O7:-",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000023365.1_ASM2336v1","1060","O16:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000023665.1_ASM2366v1","93","O7:H48",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000025165.1_ASM2516v1","335","O55:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000025745.1_ASM2574v1","95","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000026245.1_ASM2624v1","678","O104:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000026265.1_ASM2626v1","1128","O8:H19",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000026285.1_ASM2628v2","95","O45:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000026345.1_ASM2634v1","62","O7:H45",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000026545.1_ASM2654v1","15","O127:H6",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000027125.1_ASM2712v1","414","O44/O17/O77/O106/O73:H18",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000091005.1_ASM9100v1","21","O26:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000148365.1_ASM14836v1","73","O25:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000148605.1_ASM14860v1","643","O18:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000167875.2_ASM16787v2","381","O111:H9",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000183345.1_ASM18334v1","135","O83:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000184185.1_ASM18418v1","1079","O6:H49",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000210475.1_ASM21047v1","48","O78:H11",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000212715.2_ASM21271v2","100","O149:H10",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000219515.2_ASM21951v3","5147","O11:H15",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000220005.1_ASM22000v2","10","O147:H4",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000227625.1_ASM22762v1","62","O7:H45",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000233875.1_ASM23387v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000233895.1_ASM23389v1","73","O6:H1",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
"GCF_000245515.1_ASM24551v1","335","O55:H7",NA,NA,"no",NA,NA,NA,NA,"Other",NA,NA,NA
