Isolate,complete_description,Stx_type,No_of_stx_gene_roary_assembly
DRR381601,Shiga toxin Stx2a subunit B,stx_B,1
DRR381601,Shiga toxin Stx2c subunit A,stx_A,1
DRR381603,Shiga toxin Stx2a subunit B,stx_B,1
DRR381603,Shiga toxin Stx2c subunit A,stx_A,1
DRR381607,Shiga toxin Stx2a subunit B,stx_B,1
DRR381607,Shiga toxin Stx2c subunit A,stx_A,1
DRR381616,Shiga toxin Stx2c subunit B,stx_B,2
DRR381616,Shiga toxin Stx2c subunit A,stx_A,3
DRR381616,Shiga toxin Stx2a subunit B,stx_B,1
DRR381634,Shiga toxin Stx2a subunit B,stx_B,1
DRR381634,Shiga toxin Stx2c subunit A,stx_A,1
DRR381635,Shiga toxin Stx2a subunit B,stx_B,1
DRR381635,Shiga toxin Stx2c subunit A,stx_A,1
DRR381661,Shiga toxin Stx2c subunit B,stx_B,1
DRR381661,Shiga toxin Stx2c subunit A,stx_A,2
DRR381661,Shiga toxin Stx2a subunit B,stx_B,1
DRR381665,Shiga toxin Stx2c subunit B,stx_B,1
DRR381665,Shiga toxin Stx2c subunit A,stx_A,2
DRR381665,Shiga toxin Stx2a subunit B,stx_B,1
DRR381669,Shiga toxin Stx2a subunit B,stx_B,1
DRR381669,Shiga toxin Stx2c subunit A,stx_A,1
DRR381701,Shiga toxin Stx2c subunit B,stx_B,1
DRR381701,Shiga toxin Stx2c subunit A,stx_A,2
DRR381701,Shiga toxin Stx2a subunit B,stx_B,1
DRR381723,Shiga toxin Stx2c subunit B,stx_B,1
DRR381723,Shiga toxin Stx2c subunit A,stx_A,2
DRR381723,Shiga toxin Stx2a subunit B,stx_B,1
DRR381735,Shiga toxin Stx2a subunit B,stx_B,1
DRR381735,Shiga toxin Stx2c subunit A,stx_A,1
DRR381740,Shiga toxin Stx2a subunit B,stx_B,1
DRR381740,Shiga toxin Stx2c subunit A,stx_A,1
DRR381743,Shiga toxin Stx2a subunit B,stx_B,1
DRR381743,Shiga toxin Stx2c subunit A,stx_A,1
DRR381744,Shiga toxin Stx2a subunit B,stx_B,1
DRR381744,Shiga toxin Stx2c subunit A,stx_A,1
DRR381745,Shiga toxin Stx2a subunit B,stx_B,1
DRR381745,Shiga toxin Stx2c subunit A,stx_A,1
DRR381749,Shiga toxin Stx2c subunit A,stx_A,1
DRR381749,Shiga toxin Stx2a subunit B,stx_B,1
SRR10119255,Shiga toxin Stx1a subunit A,stx_A,1
SRR10119255,Shiga toxin Stx1a subunit B,stx_B,1
SRR10119255,Shiga toxin Stx2a subunit B,stx_B,1
SRR10119255,Shiga toxin Stx2c subunit A,stx_A,1
SRR10119414,Shiga toxin Stx2a subunit B,stx_B,1
SRR10119414,Shiga toxin Stx2c subunit A,stx_A,1
SRR10337442,Shiga toxin Stx1a subunit A,stx_A,1
SRR10337442,Shiga toxin Stx1a subunit B,stx_B,1
