"isolate","scheme","ST","adk","fumC","gyrB","icd","mdh","purA","recA","Species","O.type","H.type","Serotype","QC","Evidence","GeneScores","AlleleKeys","GeneIdentities...","GeneCoverages...","GeneContigNames","GeneRanges","GeneLengths","Database","Warnings","SRA","Biosample","benchmark_included","stx_profile","stx_count","plasmid_profile","plasmid_count","Unique","Distinct","Total","Max_count","rep_types","rep_frac_distinct","rep_frac_total"
"GCF_000005845.2_ASM584v2","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NC_000913.3;NC_000913.3;NC_000913.3;","2108337-2109584;2106060-2107226;2002110-2003606;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4510145,4543891,4641632,81,33746,0.007427,0.028328
"GCF_000007445.1_ASM744v1","ecoli_achtman_4","73","adk(36)","fumC(24)","gyrB(9)","icd(13)","mdh(17)","purA(11)","recA(25)","-","O6","H1","O6:H1","-","Based on 3 allele(s)","wzx:1;wzy:0.999;fliC:1;","O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;","100;99.926;100;","100;100;100;","NC_004431.1;NC_004431.1;NC_004431.1;","2399075-2400331;2397732-2399075;2151497-2153284;","1257;1344;1788;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4995633,5078581,5226783,53,82948,0.016333,0.044224
"GCF_000008865.2_ASM886v2","ecoli_achtman_4","11","adk(12)","fumC(12)","gyrB(8)","icd(12)","mdh(15)","purA(2)","recA(2)","-","O157","H7","O157:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;","100;100;100;","100;100;100;","NC_002695.2;NC_002695.2;NC_002695.2;","2783354-2784745;2785447-2786613;2624516-2626273;","1392;1167;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5169920,5302382,5594545,61,132462,0.024982,0.0759
"GCF_000009565.1_ASM956v1","ecoli_achtman_4","93","adk(6)","fumC(11)","gyrB(4)","icd(10)","mdh(7)","purA(8)","recA(6)","-","O7","-","O7:-","-","Based on 2 allele(s)","wzx:1;wzy:1;","O7-2-wzx-origin;O7-39-wzy;","100;100;","100;100;","NC_012892.2;NC_012892.2;","2007188-2008612;2002750-2003476;","1425;727;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4425506,4459732,4558927,78,34226,0.007674,0.029266
"GCF_000010245.2_ASM1024v1","ecoli_achtman_4","10","adk(10)","fumC(11)","gyrB(4)","icd(8)","mdh(8)","purA(8)","recA(2)","-","O16","H48","O16:H48","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;","100;100;100;","100;100;100;","NC_007779.1;NC_007779.1;NC_007779.1;","2110474-2111721;2108197-2109363;2004247-2005743;","1248;1167;1497;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4503551,4537264,4646312,81,33713,0.00743,0.030726
"GCF_000010385.1_ASM1038v1","ecoli_achtman_4","156","adk(6)","fumC(29)","gyrB(32)","icd(16)","mdh(11)","purA(8)","recA(44)","-","O173","H28","O173:H28","-","Based on 3 allele(s)","wzx:0.98;wzy:0.99;fliC:1;","O173-1-wzx-origin;O173-2-wzy-origin;H28-2-fliC-origin;","98.998;98.981;100;","99;100;100;","NC_011415.1;NC_011415.1;NC_011415.1;","2365782-2366979;2357346-2358425;2217216-2218955;","1198;1080;1740;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4957541,5028157,5155486,44,70616,0.014044,0.038395
"GCF_000010485.1_ASM1048v1","ecoli_achtman_4","131","adk(53)","fumC(40)","gyrB(47)","icd(13)","mdh(36)","purA(28)","recA(29)","-","O16","H5","O16:H5","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O16-1-wzx-origin;O16-2-wzy-origin;H5-7-fliC;","100;100;100;","100;100;100;","NC_013654.1;NC_013654.1;NC_013654.1;","2057251-2058498;2054974-2056140;1888875-1890184;","1248;1167;1310;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,4727085,4756999,4839643,52,29914,0.006288,0.023258
"GCF_000010745.1_ASM1074v1","ecoli_achtman_4","17","adk(6)","fumC(4)","gyrB(3)","icd(17)","mdh(7)","purA(7)","recA(6)","-","O103","H2","O103:H2","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O103-7-wzx-origin;O103-9-wzy-origin;H2-2-fliC-origin;","100;100;100;","100;100;100;","NC_013353.1;NC_013353.1;NC_013353.1;","2518514-2519779;2515483-2516631;2243215-2244708;","1266;1149;1494;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5028195,5192678,5524820,45,164483,0.031676,0.08989
"GCF_000010765.1_ASM1076v1","ecoli_achtman_4","16","adk(6)","fumC(4)","gyrB(12)","icd(16)","mdh(9)","purA(7)","recA(12)","-","O111","H8","O111:H8","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O111-2-wzx-origin;O111-4-wzy-origin;H8-1-fliC-origin;","100;100;100;","100;100;100;","NC_013364.1;NC_013364.1;NC_013364.1;","2684013-2685278;2682971-2684023;2490197-2491675;","1266;1053;1479;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5288271,5424283,5765961,49,136012,0.025075,0.082847
"GCF_000013265.1_ASM1326v1","ecoli_achtman_4","95","adk(37)","fumC(38)","gyrB(19)","icd(37)","mdh(17)","purA(11)","recA(26)","-","O18","H7","O18:H7","-","Based on 3 allele(s)","wzx:1;wzy:1;fliC:1;","O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;","100;100;100;","100;100;100;","NC_007946.1;NC_007946.1;NC_007946.1;","2245400-2246647;2244153-2245341;2025856-2027613;","1248;1189;1758;","v1.0 (11-03-2020)","-",NA,NA,"no",NA,NA,NA,NA,5048355,5097115,5179931,48,48760,0.009566,0.025401
